TOTPOP	LIFEXPB.M	LIFEXPB.F	LIFEXPB.B	HLIFEXP	MATMORT	MEDBIRTHS	MORTLT5YO	NEONMORT	NEWHIV	TBINC	MALARIA	HEPBVACC	INTINTDS	PRMORT3070	SUICIDE	ALCONS	MORTRAFF	MODFAMPLAN	ADOBIRTHS	MORTAIR	MORTWASH	MORTPOIS	SMOK.M	SMOK.F	DRDENS	AVEI13HRCCS	STUNT5YO	WAST5YO	OW5YO	BETTERH2O	BETTERSAN	CLEANFUEL	AVEPM2.5	DEATHND	HOMICIDE	DEATHCONF
Iran(IslamicRepublicof)	79109	74.5	76.6	75.5	66.6	25	96	15.5	9.5	0.2	22	0.1	99	14373	17.3	5.3	1	32.1	68.6	37.7	35.3	0.9	2.5	21.5	0.7	23	85	6.8	4	7.05748031496063	96	90	95	41.1	0.1	4.8	0.1
Iraq	36423	66.2	71.8	68.9	60	50	91	32	18.4	1.56330275229358	43	0	62	2044142	23.7	1.1	0.5	20.2	59.3	82	32.2	3.9	0.7	34.09765625	11.64921875	6.1	91	22.6	7.4	11.8	87	86	95	52	0.1	18.6	83.6
Ireland	4688	79.4	83.4	81.4	71.5	8	100	3.6	2.3	0.2	7.4	96.9644230769231	95	0	11.1	11.5	10.9	4.1	54.7065573770492	9.2	17.3	0.3	1.5	22.4	21.9	178.7	78	23.1518796992481	6.13282442748092	7.05748031496063	98	91	95	10	0.1	1.2	0.1
Israel	8064	80.6	84.3	82.5	72.8	5	84.2762430939227	4	2.1	1.56330275229358	5.8	96.9644230769231	97	471	9.5	6.2	3.1	3.6	54.7065573770492	10.2	15.8	0.5	0.1	41.2	19.3	83	71	23.1518796992481	6.13282442748092	7.05748031496063	100	100	95	19.3	0.1	2.1	0.3
Italy	59798	80.5	84.8	82.7	72.8	4	100	3.5	2.1	1.56330275229358	6	96.9644230769231	94	418	9.8	6.4	6.1	6.1	54.7065573770492	5.8	35.3	0.1	0.6	28.3	19.7	92	77	23.1518796992481	6.13282442748092	7.05748031496063	100	100	95	18.6	0.1	0.9	0
Jamaica	2793	73.9	78.6	76.2	66.9	89	99	15.7	11.6	1	4.7	96.9644230769231	92	411692	17	1.2	5.1	11.5	83	45.7	42.9	1.9	1	29.9	5.9	15	81	5.7	3	7.8	94	82	93	17.2	0	45.1	0
Japan	126573	80.5	86.8	83.7	74.9	5	100	2.7	0.9	1.56330275229358	18	96.9644230769231	87.7228260869565	9817345.07954546	9.3	23.1	7.5	4.7	54.7065573770492	4.4	24.2	0.1	0.8	33.7	10.6	137.9	100	7.1	2.3	1.5	100	100	95	13	3.4	0.4	0.1
Jordan	7595	72.5	75.9	74.1	65	58	100	17.9	10.6	1.56330275229358	5.5	96.9644230769231	98	236	19.8	1.6	0.7	26.3	58	26	21.7	1	1.2	70.2	10.7	66.1	97	7.8	2.4	4.7	97	99	95	38.3	0	2.9	0.1
Kazakhstan	17625	65.7	74.7	70.2	63.3	12	100	14.1	7	0.2	99	96.9644230769231	95	9817345.07954546	33.9	24.2	8.2	24.2	79.6	36.4	93.3	1.2	6.3	43.9	9.3	118.7	78	13.1	4.1	13.3	93	98	92	21.9	0.1	9.2	0.1
Kenya	46050	61.1	65.8	63.4	55.6	510	62	49.4	22.2	2.3	246	266.3	81	12294911	18.1	10.8	4	29.1	75.4	96	57.1	32.5	3.8	24.6	2.1	10.6	69	26	4	4.1	63	30	6	16.9	0.1	7.4	0.6
Kiribati	112	63.7	68.8	66.3	59.1	90	80	55.9	23.7	1.56330275229358	497	96.9644230769231	75	115336	19.0162790697674	9.38771929824561	2.9	2.9	35.8	49.9	63.925	13.2813953488372	2.26162790697674	63.9	40.9	40.8	60	23.1518796992481	6.13282442748092	7.05748031496063	67	40	5	28.9183333333333	0	8.2	3.5093023255814
Kuwait	3892	73.7	76	74.7	65.8	4	100	8.6	3.2	1.56330275229358	21	96.9644230769231	96	29	11.8	1	0.1	18.7	54.7065573770492	7.1	14.2	0.1	0.5	34.09765625	11.64921875	63.4	86	5.8	2.4	8.7	99	100	95	78.8	0	3.1	0.1
Kyrgyzstan	5940	67.2	75.1	71.1	63.8	76	98	21.3	11.5	0.2	142	0	96	111553	28.5	8.9	3.9	22	62.1	42.1	99.5	1.8	2.7	50.4	3.6	81.9	50	12.9	2.8	7	90	93	76	15.7	0	9.1	0.1
LaoPeople'sDemocraticRepublic	6802	64.1	67.2	65.7	57.9	197	40	66.7	30.1	0.2	189	29.8	88	2183445	24.2	6.4	7.5	14.3	61.3	94	107.6	13.9	1	56.6	9.1	10.6	74	43.8	6.4	2	76	71	5	33.6	0.2	7.1	0
Latvia	1971	69.6	79.2	74.6	67.1	18	98	7.9	5.2	1.56330275229358	49	96.9644230769231	92	13	24.1	21.8	10.6	10	54.7065573770492	15.3	115.1	0.1	2.4	48.9	24.3	70.1	90	23.1518796992481	6.13282442748092	7.05748031496063	99	88	95	20.2	0	7	0
Lebanon	5851	73.5	76.5	74.9	65.7	15	84.2762430939227	8.3	4.8	0.1	16	96.9644230769231	81	9817345.07954546	12.4	0.9	2.2	22.6	54.7065573770492	55.5403225806452	29.7	0.4	0.7	45.4	31	59.2	76	23.1518796992481	6.13282442748092	7.05748031496063	99	81	95	31.3	0	5.4	3.8
Lesotho	2135	51.7	55.4	53.7	46.6	487	78	90.2	32.7	20.1	852	96.9644230769231	96	517204	23.9	5.4	6.4	28.2	76.1	94	74.5	28.3	2.2	55.1	0.4	57.1443113772455	63	33.2	2.8	7.4	82	30	32	21.7	0.2	37.5	0
Liberia	4503	59.8	62.9	61.4	52.7	725	61	69.9	24.1	0.6	308	368.8	50	3892705	21.2	2.6	5.2	33.7	37.2	147	69.9	25	1.9	27.6	2.4	2.9	26	32.1	5.6	3.2	76	17	5	6.1	0	11.2	0
Libya	6278	70.1	75.6	72.7	63.8	9	100	13.4	7.2	1.56330275229358	40	96.9644230769231	94	1634	17.6	1.5	0	73.4	29.6	6	33.2	0.6	1.4	34.09765625	11.64921875	87	64	21	6.5	22.4	89.2513661202186	97	62.9427083333333	58.5	0.1	2.6	19.6
Lithuania	2878	68.1	79.1	73.6	66	10	100	5.2	2.5	1.56330275229358	62	96.9644230769231	94	22	22.4	33.5	16.2	10.6	54.7065573770492	13.9	73.4	0.1	5.3	38.1	22.2	41.2	83	23.1518796992481	6.13282442748092	7.05748031496063	97	92	95	19.5	0	6.7	0
Luxembourg	567	79.8	84	82	71.8	10	100	1.9	0.9	1.56330275229358	6.6	96.9644230769231	94	0	11.4	10.9	11.2	8.7	54.7065573770492	6.4	19.8	0.1	0.9	25.8	21.4	155.1	88	23.1518796992481	6.13282442748092	7.05748031496063	100	98	95	16.6	0	0.2	0
Madagascar	24235	63.9	67	65.5	56.9	353	44	49.6	19.7	0.2	235	83.3	73	20491358	23.4	7.3	1.9	28.4	49.6	148	84.4	26.6	4.1	34.09765625	11.64921875	4.8	29	49.2	6.13282442748092	7.05748031496063	52	12	5	32.4	0.2	8.1	0.1
Malawi	17215	56.7	59.9	58.3	51.2	634	87	64	21.8	4.5	227	217.8	91	11136578	18.7	8.6	2.5	35	73.6	143	72	26.1	3.3	25.4	6	3.6	40	42.4	3.8	5.1	90	41	5	25.6	0.2	2	0
Malaysia	30331	72.7	77.3	75	66.5	40	99	7	3.9	0.3	103	3.2	96	225248	19.6	2.6	1.7	24	54.7065573770492	12.7	22.4	0.4	0.7	43	1.4	44.7	99	17.2	6.13282442748092	7.05748031496063	98	96	95	16.7	0.1	4.3	0.1
Maldives	364	76.9	80.2	78.5	69.6	68	96	8.6	4.9	1.56330275229358	41	96.9644230769231	99	747	15.9	5	1	3.5	42.7	13.7	20.5	0.6	0.3	34.09765625	11.64921875	64.5	61	20.3	10.2	6.5	99	98	95	28.9183333333333	0	3.5	0
Mali	17600	58.2	58.3	58.2	51.1	587	57	114.7	37.8	1.3	58	460.9	77	19462713	25.6	2.8	1	25.6	27.3	172	116	61.1	4.1	36.8	3.2	5.1	55	38.5	15.3	4.7	77	25	5	34.8	0.1	11	3.7
Malta	419	79.7	83.7	81.7	71.7	9	100	6.4	4.4	1.56330275229358	12	96.9644230769231	90	9817345.07954546	11.6	6.8	7.2	5.1	54.7065573770492	13.1	31.1	0.1	0.3	29.7	20.2	109.8	76	23.1518796992481	6.13282442748092	7.05748031496063	100	100	95	14.5	0	2.8	0
MarshallIslands	53	68.8765027322404	73.7349726775956	71.2879781420765	62.8043715846995	170.237569060773	90	36	16.7	1.56330275229358	335	96.9644230769231	79	21468	19.0162790697674	9.38771929824561	6.08548387096774	5.7	80.5	85	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	21.8	51	23.1518796992481	6.13282442748092	7.05748031496063	95	77	41	28.9183333333333	0.224590163934426	4.7	3.5093023255814
Mauritania	4068	61.6	64.6	63.1	55.1	602	65	84.7	35.7	0.4	111	24.9	84	762932	15.8	1.8	0.1	24.5	23.8	71	64.5	28.9	1.8	44	3.7	8	29	22	11.6	1.2	58	40	45	86.2	0.1	11.3	0.3
Mauritius	1273	71.4	77.8	74.6	66.8	53	100	13.5	8.4	0.4	22	96.9644230769231	97	9817345.07954546	24	8.5	4	12.2	40.8	29.4	21.2	0.9	0.3	40.1	3.3	57.1443113772455	68	23.1518796992481	6.13282442748092	7.05748031496063	100	93	95	14.3	0.2	2.7	0
Mexico	127017	73.9	79.5	76.7	67.4	38	99	13.2	7	0.1	21	0.2	84	10287100	15.7	4.1	6.8	12.3	81.9	70.9	24.1	1.1	0.8	20.8	6.6	46.2	97	13.6	1.6	9	96	85	86	20.6	0.1	22	1.1
Micronesia(FederatedStatesof)	104	68.1	70.6	69.4	62.5	100	100	34.7	18.8	1.56330275229358	195	96.9644230769231	83	52463	19.0162790697674	9.38771929824561	3.5	1.9	54.7065573770492	32.6	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	35	64	23.1518796992481	6.13282442748092	7.05748031496063	89	57	25	8	1.3	4.6	3.5093023255814
Monaco	38	68.8765027322404	73.7349726775956	71.2879781420765	62.8043715846995	170.237569060773	84.2762430939227	3.5	1.9	1.56330275229358	2.2	96.9644230769231	99	0	19.0162790697674	9.38771929824561	6.08548387096774	0	54.7065573770492	55.5403225806452	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	243.8	79	23.1518796992481	6.13282442748092	7.05748031496063	100	100	95	10	0.224590163934426	1.1	3.5093023255814
Mongolia	2959	64.7	73.2	68.8	62	44	99	22.4	11.1	1.56330275229358	170	96.9644230769231	99	0	32	9.3	7.8	21	68.3	26.7	132.2	3.1	3.8	47.7	5.3	64.6	86	10.8	1	10.5	64	60	32	33.5	0	10.1	0
Montenegro	626	74.1	78.1	76.1	67.9	7	99	4.7	3.1	1.56330275229358	21	96.9644230769231	87	9817345.07954546	22.2	18.9	11.5	11.9	34.2	13.4	123.5	0.1	1	34.09765625	11.64921875	75.3	59	9.4	2.8	22.3	100	96	74	24.3	0	2.8	0
Morocco	34378	73.3	75.4	74.3	64.9	121	74	27.6	17.6	0.1	106	96.9644230769231	99	4025	22.8	5	0.7	20.8	74.8	32	28.8	3.4	1.1	45.4	1.4	15.1	95	14.9	2.3	10.7	85	77	95	19.3	0.1	2.5	0.1
Mozambique	27978	55.7	59.4	57.6	49.6	489	54	78.5	27.1	7.4	551	352.3	78	22815820	17.3	17.3	2	31.6	28.2	167	65.1	37.9	8.1	31.4	5.9	4.5	69	43.1	6.1	7.9	51	21	5	22.4	0.2	3.4	0.1
Myanmar	53897	64.6	68.5	66.6	59.2	178	78	50	26.4	0.3	369	45	75	40777860	24.3	12.4	0.7	20.3	54.7065573770492	30.3	127.4	10.4	1.1	31.6	6.4	16.2	86	35.1	7.9	2.6	81	80	9	56.7	0.1	4.2	1.6
Namibia	2459	63.1	68.3	65.8	57.5	265	88	45.4	15.9	9.1	561	5.4	88	1049353	20	2	11.8	23.9	75.1	82	47.9	9.8	1.1	38.9	11.4	31.5	66	23.1	7.1	4.1	91	34	46	18.8	0.9	19.7	0
Nauru	10	68.8765027322404	73.7349726775956	71.2879781420765	62.8043715846995	170.237569060773	97	35.4	22.7	1.56330275229358	73	96.9644230769231	95	2751	19.0162790697674	9.38771929824561	3	17.089417989418	42.5	105.3	63.925	13.2813953488372	2.26162790697674	43	52	56.4	42	24	1	2.8	97	66	95	28.9183333333333	0.224590163934426	1.3	3.5093023255814
Nepal	28514	67.7	70.8	69.2	61.1	258	48	35.8	22.2	0.1	158	1.2	92	21352583	21.6	20.3	2.1	17	56	71	104.2	12.9	5.9	37.1	11.1	57.1443113772455	77	37.4	11.3	2.1	92	46	26	75.7	7.2	3.3	0.1
Netherlands	16925	80	83.6	81.9	72.2	7	84.2762430939227	3.8	2.4	1.56330275229358	5.8	96.9644230769231	95	30	12.2	10	9.6	3.4	54.7065573770492	4.5	24	0.2	0.2	26.2	23.3	57.1443113772455	95	23.1518796992481	6.13282442748092	7.05748031496063	100	98	95	14.9	0.1	0.9	0
NewZealand	4529	80	83.3	81.6	71.6	11	97	5.7	3.1	1.56330275229358	7.4	96.9644230769231	93	9817345.07954546	10.7	10.3	11.2	6	54.7065573770492	19.1	0.5	0.6	0.4	17.2	15.4	136.1	98	23.1518796992481	6.13282442748092	7.05748031496063	100	73.0714285714286	95	5.3	0.9	1.2	0
Nicaragua	6082	71.5	77.9	74.8	63.7	150	88	22.1	9.8	0.2	58	1.6	98	1214110	19.4	9.1	4.6	15.3	84	92	62.3	3.5	0.5	34.09765625	11.64921875	22.6	78	23	1.5	6.2	87	68	49	26.1	0.2	13	0.1
Niger	19899	60.9	62.8	61.8	54.2	553	29	95.5	26.8	0.1	98	317.1	68	14885196	19.6	1.8	0.3	26.4	40.8	206	109.7	69.2	4	18.6	0.2	1.6	79	43	18.7	3	58	11	5	51.8	0.2	10.3	0.2
Nigeria	182202	53.4	55.6	54.5	47.7	814	35	108.8	34.3	2	322	342.9	66	140381164	19.8	4.3	11.3	20.5	28.8	122	90.4	50.9	2.4	17.4	1.1	20.1	67	32.9	7.9	1.8	69	29	5	38.9	0.1	10.1	3.1
Niue	2	68.8765027322404	73.7349726775956	71.2879781420765	62.8043715846995	170.237569060773	100	23	12.5	1.56330275229358	0	96.9644230769231	99	0	19.0162790697674	9.38771929824561	7.7	17.089417989418	54.7065573770492	14.3	63.925	13.2813953488372	2.26162790697674	20.3	11.4	190	61	23.1518796992481	6.13282442748092	7.05748031496063	99	100	91	28.9183333333333	0.224590163934426	2.8	3.5093023255814
Norway	5211	79.8	83.7	81.8	72	5	99	2.6	1.5	0.1	8.1	96.9644230769231	87.7228260869565	7	10.7	10.2	7	3.8	54.7065573770492	5	12.7	0.5	1	22.4	22.1	215.5	98	23.1518796992481	6.13282442748092	7.05748031496063	100	98	95	9.1	0.1	0.6	0.3
Oman	4491	75	79.2	76.6	66.7	17	99	11.6	5.2	0.1	9.6	0	98	9817345.07954546	17.8	1	0.9	25.4	19.1	13.5	13.5	0.4	0.4	21	1	78.1	96	14.1	7.5	4.4	93	97	95	47.4	0.1	4.8	0
Pakistan	188925	65.5	67.5	66.4	57.8	178	52	81.1	45.5	0.2	270	12.8	73	47386262	20.5	7.5	0.1	14.2	47	44	88.8	20.7	5.4	41.9	3	14	43	45	10.5	4.8	91	64	45	68.7	0.4	8.9	4.2
Palau	21	68.8765027322404	73.7349726775956	71.2879781420765	62.8043715846995	170.237569060773	100	16.4	9	1.56330275229358	42	96.9644230769231	99	9817345.07954546	19.0162790697674	9.38771929824561	6.08548387096774	4.8	54.7065573770492	27	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	71	91	23.1518796992481	6.13282442748092	7.05748031496063	89.2513661202186	100	58	28.9183333333333	0.224590163934426	3.1	3.5093023255814
Panama	3929	74.7	81.1	77.8	68.1	94	91	17	9.6	0.3	46	0.5	80	400364	12.5	4.4	7.7	10	75.9	91.1	25.4	4.1	0.6	10.6	2.6	30.5	70	19.1	1.2	7.05748031496063	95	75	86	12.8	0.1	19.3	0
PapuaNewGuinea	7619	60.6	65.4	62.9	56.4	215	43	57.3	24.5	0.4	417	185.1	62	6327334	26.4	7.7	3.1	16.8	40.6	55.5403225806452	44.3	12.4	11.9	34.09765625	11.64921875	6.2	64	49.5	14.3	13.8	40	19	31	12.1	0.2	10.8	0.2
Paraguay	6639	72.2	76	74	65.2	132	96	20.5	10.9	0.5	43	0	87	815045	18.5	5.3	9.6	20.7	84.1	63	56.6	2.3	0.3	28.3	7.9	22.3	83	10.9	2.6	11.7	98	89	64	17	0.1	9.7	0.1
Peru	31377	73.1	78	75.5	65.6	68	90	16.9	8.2	0.1	120	30.4	88	3011439	11.2	3.1	5.2	13.9	62.7	65	32.6	1.3	0.7	21.5	5.9	26.5	89	14.6	0.6	7.2	87	76	68	37	0.1	11	0.1
Philippines	100699	65.3	72	68.5	61.1	114	73	28	12.6	0.1	288	0.4	79	44803112	27.9	2.6	5.6	10.5	51.5	57	82.7	5.1	0.2	43	8.5	57.1443113772455	89	30.3	7.9	5	92	74	45	27.6	2.5	12.4	1.1
Poland	38612	73.6	81.3	77.5	68.7	3	100	5.2	3.1	0.1	21	96.9644230769231	96	48	20	20.5	11.5	10.3	54.7065573770492	14	68.9	0.1	1.7	32.4	23.7	83.8	74	23.1518796992481	6.13282442748092	7.05748031496063	98	97	95	25.8	0.1	1.1	0
Portugal	10350	78.2	83.9	81.1	71.4	10	99	3.6	2	1.56330275229358	25	96.9644230769231	98	75	11.9	12.5	12.5	7.8	54.7065573770492	10.5	16.8	0.1	0.4	31.5	13.7	102.1	95	23.1518796992481	6.13282442748092	7.05748031496063	100	100	95	9.6	0.1	1.4	0
Qatar	2235	77.4	80	78.2	67.7	13	100	8	3.8	1.56330275229358	29	96.9644230769231	99	48	14.2	4.7	1.3	15.2	68.9	13.4	9	0.1	0.6	34.09765625	11.64921875	196.1	97	23.1518796992481	6.13282442748092	7.05748031496063	100	98	95	105.3	0	7.1	0
RepublicofKorea	50293	78.8	85.5	82.3	73.2	11	100	3.4	1.6	1.56330275229358	86	0.2	99	6	9.3	36.8	10.9	12	54.7065573770492	1.7	23.7	0.2	0.6	49.8	4.2	71.5	100	2.5	1.2	7.3	89.2513661202186	100	95	27.9	0.1	2	0
RepublicofMoldova	4069	67.9	76.2	72.1	64.8	23	99	15.8	11.9	0.6	153	96.9644230769231	92	9817345.07954546	26.5	17	17.4	12.5	60.4	26.7	114.5	0.1	5	45.7	5.4	93.8	80	6.4	1.9	4.9	88	76	93	17.1	0	7.5	0
Romania	19511	71.4	78.8	75	66.8	31	99	11.1	6.3	1.56330275229358	81	96.9644230769231	94	9817345.07954546	22.6	12.8	12.9	8.7	54.7065573770492	38.9	138.2	0.1	2.3	36.9	22.7	80.6	78	23.1518796992481	6.13282442748092	7.05748031496063	100	79	82	20.4	0.1	2.1	0
RussianFederation	143457	64.7	76.3	70.5	63.3	25	100	9.6	5	1.56330275229358	84	0	97	9817345.07954546	29.9	22.3	14.5	18.9	72.4	26.6	110	0.2	6.4	59	22.8	57.1443113772455	87	23.1518796992481	6.13282442748092	7.05748031496063	97	72	95	17.1	0.1	13.1	0.5
Rwanda	11610	60.9	71.1	66.1	56.6	290	91	41.7	18.7	1.1	63	121.1	99	4148711	19.1	7.6	10	32.1	65	45	68.3	19.4	3.3	34.09765625	11.64921875	7.5	46	37.9	2.2	7.7	76	62	5	50.6	0.1	5.8	0.7
SaintKittsandNevis	56	68.8765027322404	73.7349726775956	71.2879781420765	62.8043715846995	170.237569060773	100	10.5	6.5	1.56330275229358	7.2	96.9644230769231	98	0	19.0162790697674	9.38771929824561	7	17.089417989418	54.7065573770492	55.5403225806452	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	57.1443113772455	60	23.1518796992481	6.13282442748092	7.05748031496063	98	73.0714285714286	95	0	0.224590163934426	13.8	3.5093023255814
SaintLucia	185	72.6	77.9	75.2	66.1	48	99	14.3	9.3	1.56330275229358	9.1	96.9644230769231	99	36119	19.0162790697674	9.38771929824561	10.4	18.1	72.4	42.5	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	21.3	58	2.5	3.7	6.3	96	91	95	18.2	0.7	15.3	3.5093023255814
SaintVincentandtheGrenadines	109	71.3	75.2	73.2	64.6	45	99	18.3	11.5	1.56330275229358	24	96.9644230769231	98	0	19.0162790697674	9.38771929824561	7.2	8.2	54.7065573770492	70	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	57.1443113772455	35	23.1518796992481	6.13282442748092	7.05748031496063	95	73.0714285714286	95	28.9183333333333	2.2	14	3.5093023255814
Samoa	193	70.9	77.5	74	66.6	51	83	17.5	9.5	1.56330275229358	19	96.9644230769231	91	182172	19.0162790697674	9.38771929824561	6.08548387096774	15.8	39.4	44	63.925	13.2813953488372	2.26162790697674	41	18.9	23	75	23.1518796992481	6.13282442748092	7.05748031496063	99	92	27	28.9183333333333	2.4	3.7	3.5093023255814
SanMarino	32	68.8765027322404	73.7349726775956	71.2879781420765	62.8043715846995	170.237569060773	84.2762430939227	2.9	0.7	1.56330275229358	1.6	96.9644230769231	80	0	19.0162790697674	9.38771929824561	6.08548387096774	3.2	54.7065573770492	1.3	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	139.3	40	23.1518796992481	6.13282442748092	7.05748031496063	89.2513661202186	73.0714285714286	95	28.9183333333333	0.224590163934426	0.7	3.5093023255814
SaoTomeandPrincipe	190	65.6	69.4	67.5	59.1	156	93	47.3	17.1	0.1	97	93	95	194856	19.0162790697674	9.38771929824561	6.8	31.1	50.3	92	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	57.1443113772455	18	17.2	4	2.4	97	35	30	28.9183333333333	0	7.2	3.5093023255814
SaudiArabia	31540	73.2	76	74.5	64.5	12	98	14.5	7.9	1.56330275229358	12	0.1	98	1968	16.7	0.3	0.2	27.4	54.7065573770492	17.6	28.1	0.2	0.8	27.9	2.9	73.6	99	9.3	11.8	6.1	97	100	95	131.6	0.1	6.5	0.1
Senegal	15129	64.6	68.6	66.7	58.3	315	59	47.2	20.8	0.1	138	128.1	89	11792254	16.7	3.2	0.5	27.2	46.3	80	43.2	25.4	1.5	23.4	0.7	4.8	30	19.4	5.8	1.3	79	48	36	43.7	0.1	7.9	0.1
Serbia	8851	72.9	78.4	75.6	67.7	17	98	6.7	4.2	1.56330275229358	24	96.9644230769231	92	7	24.5	16.8	12.9	7.7	25.1	22	137.2	0.3	0.6	43.6	39.7	21.1	47	6	3.9	13.9	99	96	71	21.5	0.1	1.6	0.1
Seychelles	96	69.1	78	73.2	65.5	170.237569060773	99	13.6	8.6	1.56330275229358	26	96.9644230769231	99	1	19.0162790697674	9.38771929824561	6.7	8.6	54.7065573770492	61.2	63.925	13.2813953488372	2.26162790697674	43	8.8	58.8	87	7.9	4.3	10.2	96	98	95	5	0	9.5	3.5093023255814
SierraLeone	6453	49.3	50.8	50.1	44.4	1360	60	120.4	34.9	0.7	310	406	83	7564272	27.5	5.6	8.2	27.3	37.5	125	142.3	90.4	5.7	60	12	1.9	64	37.9	9.4	8.9	63	13	5	16.8	0.1	13	0
Singapore	5604	80	86.1	83.1	73.9	10	100	2.7	1	1.56330275229358	49	96.9644230769231	97	6066	10.5	9	2.9	3.6	54.7065573770492	2.7	20.5	0.1	0.2	28	5	77.1	99	23.1518796992481	6.13282442748092	7.05748031496063	100	100	95	17	0	0.6	0
Slovakia	5426	72.9	80.2	76.7	68.1	6	100	7.3	4.2	0.1	6.7	96.9644230769231	97	8	19.4	12.6	12.5	6.6	54.7065573770492	21.2	66.3	0.1	0.7	39.7	17.6	93.9	96	23.1518796992481	6.13282442748092	7.05748031496063	100	99	95	20.3	0	1.4	0
Slovenia	2068	77.9	83.7	80.8	71.1	9	100	2.6	1.4	0.1	7.7	96.9644230769231	87.7228260869565	9817345.07954546	12.6	17.1	10.9	6.4	54.7065573770492	4.6	41.9	0.1	1	22.3	18.1	109.8	75	23.1518796992481	6.13282442748092	7.05748031496063	100	99	95	19.4	0.1	0.7	0
SolomonIslands	584	67.9	70.8	69.2	62.1	114	86	28.1	12.2	1.56330275229358	86	75.4	88	383910	24.1	6.3	1.6	19.2	60	62	52.9	10.4	5.2	34.09765625	11.64921875	22.8	57	32.8	4.3	2.5	81	30	9	28.9183333333333	2	4.9	0
Somalia	10787	53.5	56.6	55	47.8	732	9	136.8	39.7	0.5	274	78.8	42	4891026	19.1	8	0.5	25.4	54.7065573770492	64	116.8	98.8	10	34.09765625	11.64921875	1.5	6	25.3	15	3	89.2513661202186	73.0714285714286	9	16.9	0.4	5.5	35.8
SouthAfrica	54490	59.3	66.2	62.9	54.5	138	94	40.5	11	12.7	834	5	74	6645340	26.8	2.7	11.5	25.1	54.7065573770492	54	44.2	12.1	2.5	31.4	6.5	58.9	100	23.9	4.7	7.05748031496063	93	66	82	32.6	0.1	35.7	0.1
SouthSudan	12340	56.1	58.6	57.3	49.9	789	17	92.6	39.3	2.6	146	153.8	87.7228260869565	9326151	19.8	13.6	6.08548387096774	27.9	5.6	158	95	50	6.9	34.09765625	11.64921875	57.1443113772455	50	31.1	22.7	6	59	7	5	32.5	0.3	4.8	21.1
Spain	46122	80.1	85.5	82.8	72.4	5	84.2762430939227	4.1	2.8	1.56330275229358	12	96.9644230769231	96	440	10.8	7	10.6	3.7	54.7065573770492	8.4	14.7	0.3	0.9	31.3	27.1	106.1	92	23.1518796992481	6.13282442748092	7.05748031496063	100	100	95	10	0.1	0.8	0.1
SriLanka	20715	71.6	78.3	74.9	67	30	99	9.8	5.4	0.1	65	0	99	54216	17.6	29.2	4.5	17.4	69.4	20.3	119.4	3.3	0.4	28.4	0.4	23.2	71	14.7	21.4	0.6	96	95	19	28.6	0.4	3.8	0.1
Sudan	40235	62.4	65.9	64.1	55.9	311	20	70.1	29.8	0.2	94	37.7	94	28468689	17.4	11.5	6.08548387096774	24.3	30.2	87	64.3	34.6	5.6	34.09765625	11.64921875	11.2	71	38.2	16.3	3	89.2513661202186	73.0714285714286	23	53.1	0.1	6.5	7
Suriname	543	68.6	74.7	71.6	63.1	155	90	21.3	11.5	0.6	38	12.6	85	51774	13.6	28.3	6.5	19.1	73.2	65.3	22.7	0.8	0.6	34.09765625	11.64921875	57.1443113772455	72	8.8	5	4	95	79	91	16.3	0	9.4	0
Swaziland	1287	56.6	61.1	58.9	50.9	389	88	60.7	14.2	18.9	733	3.6	98	597165	21.4	5.3	6.4	24.2	80.6	87	62.7	22.7	2.5	19	2.2	17.7	56	25.5	2	9	74	58	35	19.9	0.2	19.4	0
Sweden	9779	80.7	84	82.4	72	4	84.2762430939227	3	1.6	0.1	7.5	96.9644230769231	42	21	9.9	13.2	8.7	2.8	54.7065573770492	5.1	0.4	1.1	1	20.4	20.8	149.7	92	23.1518796992481	6.13282442748092	7.05748031496063	100	99	95	5.9	0.1	0.8	0
Switzerland	8299	81.3	85.3	83.4	73.1	5	84.2762430939227	3.9	2.7	1.56330275229358	6.3	96.9644230769231	87.7228260869565	9817345.07954546	9.1	12.2	10.4	3.3	54.7065573770492	2	18.5	0.3	1.2	26.9	19.7	214.1	91	23.1518796992481	6.13282442748092	7.05748031496063	100	100	95	12.6	0.1	0.6	0
SyrianArabRepublic	18502	59.9	69.9	64.5	56.1	68	96	12.9	7	0.1	17	0	71	43885	19.1	0.4	1.4	20	53.3	54	30.9	1.8	0.5	34.09765625	11.64921875	33.2	63	27.5	11.5	17.9	90	96	95	34.3	0	2.5	309.1
Tajikistan	8482	66.6	73.6	69.7	62.1	32	87	44.8	20.5	0.4	91	0.1	97	120617	28.8	3.2	2.4	18.8	50.8	54	97.6	7.5	1.7	34.09765625	11.64921875	69.4	94	26.8	9.9	6.6	74	95	72	51.2	0.1	1.8	0.1
