TOTPOP	LIFEXPB.M	LIFEXPB.F	LIFEXPB.B	HLIFEXP	MATMORT	MEDBIRTHS	MORTLT5YO	NEONMORT	NEWHIV	TBINC	MALARIA	HEPBVACC	INTINTDS	PRMORT3070	SUICIDE	ALCONS	MORTRAFF	MODFAMPLAN	ADOBIRTHS	MORTAIR	MORTWASH	MORTPOIS	SMOK.M	SMOK.F	DRDENS	AVEI13HRCCS	STUNT5YO	WAST5YO	OW5YO	BETTERH2O	BETTERSAN	CLEANFUEL	AVEPM2.5	DEATHND	HOMICIDE	DEATHCONF
Bhutan	775	69.5	70.1	69.8	61.2	148	75	32.9	18.3	1.56330275229358	164	0.1	99	107867	20.5	16	1.1	15.1	84.6	28.4	59.9	7.1	8.1	34.09765625	11.64921875	12.4	68	33.6	5.9	7.6	100	50	68	39	0	1.9	0
Bolivia(PlurinationalStateof)	10725	68.2	73.3	70.7	62.2	206	85	38.4	19.6	0.2	120	5.1	94	2129328	18.3	11.7	5.8	23.2	42.8	115.6	52	7	1.7	30.5	17.1	14.8	71	18.1	1.6	8.7	90	50	79	31.9	0.5	13.9	0
BosniaandHerzegovina	3810	75	79.7	77.4	68.6	11	100	5.4	4	1.56330275229358	42	96.9644230769231	89	9817345.07954546	17.5	13.9	7.5	17.7	21.9	11	223.6	0.1	7.5	47.2	30	75.3	55	8.9	2.3	17.4	100	95	40	56	0.1	3.4	0.1
Botswana	2262	63.3	68.1	65.7	56.9	129	100	43.6	21.9	14	385	1.1	95	252373	20.9	3.2	7.7	23.6	54.7065573770492	39	38.1	9.2	2.7	34.09765625	11.64921875	37.5	62	31.4	7.2	11.2	96	63	63	19.3	0.1	12.4	0
Brazil	207848	71.4	78.7	75	65.5	44	99	16.4	8.9	1.56330275229358	44	9.9	96	18680873	19.4	6	9.1	23.4	89.3	64.8	21.3	1.1	0.1	19.3	11.3	94.9	99	7.1	1.6	7.3	98	83	93	11.9	0.1	32.4	0.2
BruneiDarussalam	423	76.3	79.2	77.7	70.4	23	100	10.2	4.3	1.56330275229358	62	96.9644230769231	99	9339	16.8	6.2	0.8	8.1	54.7065573770492	16.6	0.2	0.1	1.2	29.3	3.1	94.9	92	19.7	2.9	8.3	89.2513661202186	73.0714285714286	95	5.4	0	2.1	0
Bulgaria	7150	71.1	78	74.5	66.4	11	94	10.4	5.6	1.56330275229358	27	96.9644230769231	95	379	24	14.5	11.3	8.3	54.7065573770492	40.8	174.8	0.1	1.2	42.4	28.2	86.4	69	23.1518796992481	6.13282442748092	7.05748031496063	99	86	79	30.5	0.1	1.9	0.1
BurkinaFaso	18106	59.1	60.5	59.9	52.6	371	66	88.6	26.7	0.5	54	418.4	91	14961395	23.8	2.9	7.4	30	37.1	130	96.4	40.9	2.7	36	4.5	6.1	50	32.9	10.9	2.8	82	20	7	36.9	0.1	9.8	0.1
Burundi	11179	57.7	61.6	59.6	52.2	712	60	81.7	28.6	0.1	126	269.4	95	5332985	24.3	16.4	9.8	31.3	32.6	85	106	68.4	7	34.09765625	11.64921875	57.1443113772455	56	57.5	6.1	2.9	76	48	5	49.4	0.2	6.7	0.1
CaboVerde	521	71.3	75	73.3	64.4	42	92	24.5	12.2	0.9	138	0.7	95	135100	15.1	3.9	7.2	26.1	73.2	55.5403225806452	58.2	4.5	0.3	22.2	3.5	8.6	58	23.1518796992481	6.13282442748092	7.05748031496063	92	72	71	28.9183333333333	0	8.8	0
Cambodia	15578	66.6	70.7	68.7	58.9	161	89	28.7	14.8	0.1	390	10.6	97	5566529	17.7	9	6.1	17.4	56.4	57	71.4	5.6	1	44.1	2.8	9.6	52	32.4	9.6	2	76	42	13	25	0.7	2.4	0.1
Cameroon	23344	55.9	58.6	57.3	50.3	596	65	87.9	25.7	3.8	220	271.8	87	19449659	19.9	4.9	7.7	27.6	40.2	119	89.6	40.9	2.7	43.8	0.9	5.2	91	31.7	5.2	6.7	76	46	18	64	0.1	11.7	1.2
Canada	35940	80.2	84.1	82.2	72.3	7	98	4.9	3.2	1.56330275229358	5.2	96.9644230769231	75	0	10.7	11.4	10.3	6	54.7065573770492	12.6	5.4	0.6	2	17.7	12.2	113.6	99	23.1518796992481	6.13282442748092	7.05748031496063	100	100	95	7.3	0.1	1.8	0.1
CentralAfricanRepublic	4900	50.9	54.1	52.5	45.9	882	40	130.1	42.6	2.7	375	325	47	4050725	18.5	7.9	3.8	32.4	28.7	229	95.9	102.3	4.7	34.09765625	11.64921875	3.1	24	40.7	7.4	1.8	69	22	5	56.2	0	13.5	25.6
Chad	14037	51.7	54.5	53.1	46.1	856	24	138.7	39.3	1.5	159	157.9	46	10477490	23.2	2.7	4.4	24.1	17.5	203.4	121.8	92.8	4.6	34.09765625	11.64921875	2.3	43	39.9	13	2.5	51	12	5	61.8	0.1	9.4	0.1
Chile	17948	77.4	83.4	80.5	70.4	22	100	8.1	4.9	0.2	16	96.9644230769231	92	30	11.9	13	9.3	12.4	54.7065573770492	51.5	22.4	0.2	0.6	40	36	11.7	79	1.8	0.3	9.3	99	99	95	25.5	0.1	4.6	0.1
China	1383925	74.6	77.6	76.1	68.5	27	100	10.7	5.5	1.56330275229358	68	0.1	99	26227888	19.4	8.7	7.6	18.8	54.7065573770492	6.2	163.1	0.4	2.9	47.6	1.8	31.5	99	9.4	2.3	6.6	96	77	57	61.8	0.1	1.1	0.1
Colombia	48229	71.2	78.4	74.8	65.1	64	99	15.9	8.5	0.2	33	8.9	90	4524693	12.4	5.5	6.6	16.8	83.7	84	23.6	0.8	0.3	16	6.2	20.9	86	12.7	0.9	4.8	91	81	91	18.4	0.2	43.9	0.8
Comoros	788	61.9	65.2	63.5	55.9	335	82	73.5	34	1.56330275229358	35	170.6	80	523106	23.5	10.5	0.2	28	27.8	70	63.4	28.6	3.5	23.1	6	57.1443113772455	29	32.1	11.1	10.9	90	36	7	7	0.1	8	0
Congo	4620	63.2	66.3	64.7	56.6	442	94	45	18	1.4	381	187.5	90	3568201	19.8	7.8	3.9	26.4	38.5	147	90.2	48.1	2.8	43.2	1.7	9.2	28	21.2	8.2	5.9	77	15	18	57.6	0.1	10.4	0
CookIslands	21	68.8765027322404	73.7349726775956	71.2879781420765	62.8043715846995	170.237569060773	100	8.1	4.4	1.56330275229358	12	96.9644230769231	99	22	19.0162790697674	9.38771929824561	4.8	24.2	54.7065573770492	56	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	77.8	63	23.1518796992481	6.13282442748092	7.05748031496063	100	98	80	0	0.224590163934426	3.1	3.5093023255814
CostaRica	4808	77.1	82.2	79.6	69.7	25	99	9.7	6.2	0.2	11	0.1	91	41518	12.2	6.9	5.1	13.9	89.1	61.2	18.8	0.7	0.3	18.5	8.3	18.8	85	5.6	1	8.1	98	95	95	19.2	0.1	8.5	0
Côted'Ivoire	22702	52.3	54.4	53.3	47	645	56	92.6	37.9	2.1	165	385.2	67	18131745	23.3	5.4	6.5	24.2	30.9	125	89.8	44.1	3.2	34.09765625	11.64921875	6.3	87	29.6	7.6	3.2	82	23	18	19.3	0.1	12.2	0.5
Croatia	4240	74.7	81.2	78	69.4	8	100	4.3	2.6	1.56330275229358	12	96.9644230769231	95	31	17.7	16.5	11.7	9.2	54.7065573770492	11.8	89.5	0.1	0.9	39.4	33.5	57.1443113772455	71	23.1518796992481	6.13282442748092	7.05748031496063	100	97	94	20.5	0.1	1.3	0
Cuba	11390	76.9	81.4	79.1	69.2	39	99	5.5	2.3	0.3	9.4	96.9644230769231	96	52997	16.5	14.6	5.5	7.5	88.4	52.5	50.5	0.7	1.3	52.7	17.8	157.8	100	23.1518796992481	6.13282442748092	7.05748031496063	95	93	87	16.5	0.1	5	0
Cyprus	1165	78.3	82.7	80.5	71.3	7	100	2.7	1.5	1.56330275229358	5.3	96.9644230769231	96	6	9.5	5.1	9.1	5.2	54.7065573770492	4.2	19.8	0.3	0.5	34.09765625	11.64921875	67.9	62	23.1518796992481	6.13282442748092	7.05748031496063	100	100	95	17.2	0	2	0
CzechRepublic	10543	75.9	81.7	78.8	69.4	4	100	3.4	1.8	1.56330275229358	4.6	96.9644230769231	99	6	17	15.6	14.1	6.1	85.7	11.1	59.5	0.5	1.1	37.4	29	57.1443113772455	91	23.1518796992481	6.13282442748092	7.05748031496063	100	99	95	20.9	0.1	0.9	0.1
DemocraticPeople'sRepublicofKorea	25155	67	74	70.6	64	82	100	24.9	13.5	1.56330275229358	442	2.1	93	5643102	27.1	9.38771929824561	4.4	20.8	76.7	0.7	234.1	1.4	3.3	34.09765625	11.64921875	57.1443113772455	73	27.9	4	0	100	82	7	31.6	0.2	4.7	0
DemocraticRepublicoftheCongo	77267	58.3	61.5	59.8	51.7	693	80	98.3	30.1	0.6	325	295.2	80	57568918	23.6	8	3.4	33.2	15.6	138	116.4	107.8	6.2	34.09765625	11.64921875	57.1443113772455	75	42.6	8.1	4.4	52	29	6	63.2	0.1	13.3	1.8
Denmark	5669	78.6	82.5	80.6	71.2	6	98	3.5	2.5	0.1	7.1	96.9644230769231	87.7228260869565	0	13.3	11.2	10.2	3.5	54.7065573770492	2.4	20.3	0.8	1.1	17.6	16.4	202.7	91	23.1518796992481	6.13282442748092	7.05748031496063	100	100	95	10.5	0.1	0.9	0.1
Djibouti	888	61.8	65.3	63.5	55.8	229	87	65.3	33.4	1.1	619	25	78	107995	18.8	10.7	0.9	24.7	54.7065573770492	20.6	40.5	26.4	3.7	34.09765625	11.64921875	10.3	46	33.5	21.5	8.1	90	47	10	46	0	7	0.1
Dominica	73	68.8765027322404	73.7349726775956	71.2879781420765	62.8043715846995	170.237569060773	100	21.2	15.6	1.56330275229358	0.7	96.9644230769231	97	8063	19.0162790697674	9.38771929824561	6.6	15.3	54.7065573770492	47.2	63.925	13.2813953488372	2.26162790697674	34.09765625	11.64921875	57.1443113772455	66	23.1518796992481	6.13282442748092	7.05748031496063	89.2513661202186	73.0714285714286	92	16.3	0.224590163934426	6.8	3.5093023255814
DominicanRepublic	10528	70.9	77.1	73.9	65.1	92	98	30.9	21.7	0.4	60	0.2	89	1192636	14.8	3.6	7.6	29.3	84.1	90	29.4	1.9	0.5	18.8	9.4	28.2	71	7.1	2.4	7.6	85	84	92	17	0.1	25.4	0
Ecuador	16144	73.5	79	76.2	67	64	96	21.6	10.8	0.2	54	0.1	83	1806145	11.9	8.9	6.1	20.1	80.7	55.5403225806452	15	1.8	0.7	14	3.3	38.8	90	25.2	2.3	7.5	87	85	95	13.5	0.1	13.8	0.1
Egypt	91508	68.8	73.2	70.9	62.2	33	92	24	12.8	0.1	15	96.9644230769231	94	1117250	24.5	1.6	0.3	12.8	80	56	52.1	1.6	2.1	49.9	0.3	63.5	93	22.3	9.5	15.7	99	95	95	101.8	0	5.1	0.4
ElSalvador	6127	68.8	77.9	73.5	64.1	54	98	16.8	8.3	0.2	41	0.1	93	874565	16.9	12.8	3.5	21.1	81.9	72	44.6	2.4	0.5	34.09765625	11.64921875	20	93	14	2	6	94	75	83	37.1	0.1	43.9	0
EquatorialGuinea	845	56.6	60	58.2	51.2	342	68	94.1	33.1	2.9	162	211.1	24	465062	23.4	13.9	8.1	22.9	20.5	176	98.3	57.3	5	34.09765625	11.64921875	57.1443113772455	27	26.2	3.1	9.7	48	75	22	32	0	3.5	0
Eritrea	5228	62.4	67	64.7	55.9	501	34	46.5	18.4	0.2	78	17.4	94	976756	24.2	8.3	1.4	24.1	19.6	76	75.8	34.9	4.7	34.09765625	11.64921875	57.1443113772455	73	50.3	15.3	1.9	58	16	14	35.7	0	7.7	0.1
Estonia	1313	72.7	82	77.6	68.9	9	99	2.9	1.5	1.56330275229358	20	96.9644230769231	93	1	18.8	18.7	6.08548387096774	7	54.7065573770492	15.6	54.2	0.1	0.8	41.2	24.9	96.2	72	23.1518796992481	6.13282442748092	7.05748031496063	100	97	92	8.5	0	5.4	0.1
